season,week,home_team,away_team,div_game,home_short_week,away_short_week,home_bye,away_bye,off_epa_last3_diff,off_epa_last5_diff,off_epa_s2d_diff,def_epa_last3_diff,def_epa_last5_diff,def_epa_s2d_diff,off_success_last3_diff,off_success_last5_diff,off_success_s2d_diff,def_success_last3_diff,def_success_last5_diff,def_success_s2d_diff,point_diff_last3_diff,point_diff_last5_diff,point_diff_s2d_diff,turnover_margin_last3_diff,turnover_margin_last5_diff,turnover_margin_s2d_diff,explosive_rate_last3_diff,explosive_rate_last5_diff,explosive_rate_s2d_diff,third_down_rate_last3_diff,third_down_rate_last5_diff,third_down_rate_s2d_diff,sack_rate_last3_diff,sack_rate_last5_diff,sack_rate_s2d_diff,red_zone_td_rate_last3_diff,red_zone_td_rate_last5_diff,red_zone_td_rate_s2d_diff,plays_per_game_last3_diff,plays_per_game_last5_diff,plays_per_game_s2d_diff,rest_diff,home_team_win
2024,11,NO,CLE,0,0,0,0,1,0.07551756142006787,-0.04295807601500974,0.11067533593809473,0.04324172871561113,0.04379768866528937,0.002882984545284235,-0.028800833194807696,-0.00034521262662440266,0.04385693195934798,0.04315568947010562,0.07657763078838403,0.04920574724227167,1.0,-3.799999999999999,5.322222222222223,2.6666666666666665,1.2,1.488888888888889,0.05702770508093738,0.025186318527372076,0.03317772932266391,-0.15479280781138371,-0.03422183853298405,0.1342382744820826,-0.024627807179907372,-0.023760368782514737,-0.04022541872131975,-0.16666666666666657,0.0,-0.020925925925925903,-8.666666666666657,-1.4000000000000057,-3.622222222222227,-7,1
2024,13,NO,LA,0,0,0,1,0,0.10052231660187089,-0.08262188860277439,0.004310749825004597,-0.07510468025071126,0.007562386932376083,-0.05583364555273643,-0.0364596136962248,-0.05783784535628261,-0.05003711030239266,-0.03663984537237741,-0.01587541011356952,-0.020397227764569037,14.0,-3.0,4.090909090909091,-0.3333333333333333,-0.6000000000000001,0.09090909090909094,0.038731552322421564,0.009351838094594916,0.007858287643332407,0.2198357198357199,0.08435869685869693,0.11023055227600681,-0.037281449893390196,0.010798550878445525,-0.0065080765524949125,0.08333333333333337,-0.11666666666666659,0.08030303030303021,2.3333333333333286,1.7999999999999972,0.0,7,0
2024,15,NO,WAS,0,0,0,0,1,0.00897582053059677,-0.003217386744952519,-0.17669931120261215,-0.006774540921216262,-0.007359521233632777,-0.0045894249415718855,-0.041967124858019345,-0.053521496863002116,-0.07073569424980769,0.0017656409281899266,0.018694493095426368,-0.0022637273142046,3.3333333333333335,1.5999999999999996,-6.307692307692308,0.33333333333333337,0.0,0.0,0.04705433833360423,0.04574371877564311,-0.0011027010730371156,-0.019841269841269937,-0.030652680652680675,-0.03447186925693718,-0.028088636128208014,-0.024356006535681856,-0.006439561794834521,-0.3492063492063493,-0.34285714285714286,-0.0998168498168498,-5.666666666666664,-1.3999999999999915,-1.3076923076923066,-7,0
2024,17,NO,LV,0,0,0,0,0,-0.011153441349007476,0.07095279143000148,0.11559870459458879,0.16662592707364743,0.1321927532768634,0.011383461645261115,-0.04328930128735914,-0.01426154019526693,0.0012188236029030408,0.07397472036696029,0.07086207010320733,0.013585267766323905,-5.333333333333333,1.9999999999999996,5.933333333333334,-1.3333333333333333,-0.6,1.2,0.026029096124823126,0.027991580410887118,0.02892789021975424,0.022866022866022684,0.07324342324342331,0.05927988677988677,0.00706042375021286,-0.015568366670268716,-0.019422586496761776,-0.13888888888888884,0.07666666666666666,0.06642857142857139,-7.666666666666664,-6.6000000000000085,-1.6666666666666714,-1,0
2025,1,NO,ARI,0,0,0,0,0,-0.34347195219218785,-0.26324486433138083,0.0,0.12204670525217605,0.020955953288011003,0.0,-0.14030299672988372,-0.10829441744466711,0.0,0.009793430065776876,-0.032418409060621545,0.0,-23.333333333333332,-13.8,0.0,-0.6666666666666667,-0.4,0.0,-0.010159038755736871,-0.0008034603144203567,0.0,-0.19743589743589754,-0.19724941724941725,0.0,0.020964149796696932,0.02414783556501092,0.0,-0.3333333333333334,-0.21666666666666656,0.0,-10.666666666666664,-8.400000000000006,0.0,0,0
2025,2,NO,SF,0,0,0,0,0,-0.26185352801110917,-0.19951965786763437,-0.15409746540583835,0.0006805204688774408,0.05365130732375471,0.30938035213797205,-0.11576069409125622,-0.09339968100073848,-0.06716417910447764,-0.07596878160774129,-0.02567603323851353,-0.059551689528270335,-1.666666666666666,-4.4,-11.0,1.3333333333333335,0.5999999999999999,0.0,-0.02038600579404802,-0.018147190050041298,-0.01108742004264393,-0.2739010989010988,-0.17040126540126543,-0.14285714285714285,0.015263356512866845,0.010753228264649327,0.0006396588486140727,-0.55,-0.27666666666666667,-0.15000000000000002,-5.666666666666671,-5.0,-3.0,0,0
2025,5,NO,NYG,0,0,0,0,0,-0.039106557234305346,0.04059780338258755,0.020537636623574468,0.08910725687353288,0.07812684844769795,0.031413862375664764,0.010925439185776875,0.03014239696860438,0.03172561525837453,0.019115524309899157,0.001625995110189904,-0.01626885650316523,-11.666666666666668,-5.6,-6.75,0.0,0.4,0.0,-0.023952691410484436,-0.011342469737222569,-0.019469092462533505,0.02878232878232867,0.027708957708957704,0.04837246087246089,-0.015284307895024787,-0.006287916664168676,-0.015796403766718772,0.2999999999999999,0.33,0.2874999999999999,2.333333333333343,4.199999999999996,3.0,0,1
2025,6,NO,NE,0,0,0,0,0,-0.15360163503379198,-0.17163623063784306,-0.17163623063784297,0.028112218487826142,-0.021684542236036122,-0.021684542236036067,-0.013155474215275853,-0.018998689800257207,-0.018998689800257318,-0.034141542505470746,-0.024463225209041206,-0.024463225209041206,-18.666666666666668,-13.399999999999999,-13.399999999999999,2.3333333333333335,1.2,1.2,-0.05867984026030669,-0.05016392317319657,-0.050163923173196595,0.004914529914529675,-0.026704961704961783,-0.026704961704961727,-0.030015784945362407,-0.029154633059088844,-0.029154633059088837,-0.3888888888888887,-0.1999999999999998,-0.19999999999999996,8.333333333333336,7.600000000000001,7.600000000000001,0,0
2025,8,NO,TB,1,0,0,0,0,-0.18704192457033741,-0.1290785150725847,-0.1447996927226978,-0.07976184448139881,0.07145287584531651,0.06561966457863982,-0.023066665599445868,0.015429238864794581,0.008376218181882056,-0.000932165630413484,0.015019823800307641,0.019306956270296993,-1.6666666666666667,-8.8,-8.571428571428571,-1.0,-0.6000000000000001,-0.42857142857142855,-0.055200926078921755,-0.04409210482785743,-0.041061893855445536,-0.05378787878787894,0.0036247086247085947,-0.027095523524094944,0.005613314823770636,0.009028431271122662,0.004552472880451911,-0.05555555555555558,0.09333333333333327,0.0071428571428571175,-3.0,-0.5999999999999943,0.4285714285714306,1,0
2025,12,NO,ATL,1,0,0,1,0,-0.25382023689581007,-0.1288482266727572,-0.0949634651589248,-0.19782129701779594,-0.10382689978806865,-0.004780212342961252,-0.091664064437053,-0.051390410545324616,-0.03065473403749036,-0.046595233253488466,-0.03411098610593921,-0.008958444362622053,-8.0,-1.5999999999999996,-5.1,-2.0,-1.7999999999999998,-0.5,-0.035893210929130476,-0.03100041046424852,-0.03548762198963029,0.2528619528619528,0.15111111111111108,0.05142135642135642,0.01993369285035951,0.024064359254425842,0.014421377838332722,-0.8888888888888888,-0.4333333333333334,-0.24166666666666664,0.3333333333333286,-0.6000000000000014,0.3999999999999986,7,0
