team,season,week,off_epa,off_epa_last3,off_epa_last5,off_epa_s2d,def_epa,def_epa_last3,def_epa_last5,def_epa_s2d,off_success,off_success_last3,off_success_last5,off_success_s2d,def_success,def_success_last3,def_success_last5,def_success_s2d,turnover_margin,turnover_margin_last3,turnover_margin_last5,turnover_margin_s2d,third_down_rate,third_down_rate_last3,third_down_rate_last5,third_down_rate_s2d,sack_rate,sack_rate_last3,sack_rate_last5,sack_rate_s2d,explosive_rate,explosive_rate_last3,explosive_rate_last5,explosive_rate_s2d,red_zone_td_rate,red_zone_td_rate_last3,red_zone_td_rate_last5,red_zone_td_rate_s2d,plays_per_game,plays_per_game_last3,plays_per_game_last5,plays_per_game_s2d,opponent,points_for,points_allowed,rest,div_game,is_home,point_diff,point_diff_last5,point_diff_last3,point_diff_s2d
DAL,2025,18,-0.12970593135882458,0.11943771604146158,0.11528840882206585,0.10995816423771074,0.13465806505958805,0.2897267324358341,0.29047600556671577,0.1719708466510923,0.4339622641509434,0.47622319792484696,0.46351169653268603,0.4674439673166167,0.4714285714285714,0.48978624236579865,0.4820535636012974,0.48739846775113965,-1.0,0.0,-0.8,-0.5625,0.25,0.3370370370370372,0.4022222222222222,0.425523088023088,0.0,0.03860272244829965,0.036148646455992785,0.02719147379191786,0.1509433962264151,0.12009471454748814,0.13439449106615525,0.13302937541449217,0.5,0.5777777777777777,0.5133333333333334,0.5822916666666667,53,70.66666666666667,70.4,65.6875,NYG,17.0,34.0,10,1,0,-17.0,-5.8,-6.0,-1.4375
DEN,2016,1,0.002588532600467194,,,,0.038661572278575446,,,,0.4909090909090909,,,,0.42424242424242425,,,,-2.0,,,,0.5,,,,0.03636363636363636,,,,0.18181818181818182,,,,0.5,,,,55,,,,CAR,21.0,20.0,7,0,1,1.0,,,
DEN,2016,2,0.008108160667536788,,,0.002588532600467194,-0.2053573301589615,,,0.038661572278575446,0.5303030303030303,,,0.4909090909090909,0.38461538461538464,,,0.42424242424242425,1.0,,,-2.0,0.45454545454545453,,,0.5,0.015151515151515152,,,0.03636363636363636,0.16666666666666666,,,0.18181818181818182,0.0,,,0.5,66,,,55.0,IND,34.0,20.0,10,0,1,14.0,,,1.0
DEN,2016,3,0.08861765160866655,,,0.005348346634001991,-0.02759235993127415,,,-0.08334787894019302,0.4166666666666667,,,0.5106060606060606,0.3968253968253968,,,0.40442890442890445,0.0,,,-0.5,0.5,,,0.4772727272727273,0.03333333333333333,,,0.025757575757575757,0.13333333333333333,,,0.17424242424242425,0.6666666666666666,,,0.25,60,,,60.5,CIN,29.0,17.0,7,0,0,12.0,,,7.5
DEN,2016,4,0.03092740623338477,0.03310478162555685,,0.03310478162555685,-0.3942288146873649,-0.06476270593722007,,-0.06476270593722007,0.421875,0.4792929292929293,,0.4792929292929293,0.27692307692307694,0.4018944018944019,,0.4018944018944019,3.0,-0.3333333333333333,,-0.3333333333333333,0.25,0.48484848484848486,,0.48484848484848486,0.0625,0.02828282828282828,,0.02828282828282828,0.171875,0.1606060606060606,,0.1606060606060606,0.75,0.38888888888888884,,0.38888888888888884,64,60.333333333333336,,60.333333333333336,TB,27.0,7.0,7,0,0,20.0,,9.0,9.0
DEN,2016,5,-0.03787413025755435,0.04255107283652937,,0.03256043777751383,0.07889709161230067,-0.20905950159253353,,-0.1471292331247563,0.421875,0.4562815656565657,,0.464938446969697,0.4262295081967213,0.3527879527879528,,0.37065157065157067,0.0,1.3333333333333333,,0.5,0.25,0.40151515151515155,,0.42613636363636365,0.09375,0.03699494949494949,,0.03683712121212121,0.0625,0.15729166666666666,,0.16342329545454545,0.5,0.47222222222222215,,0.47916666666666663,64,63.333333333333336,,61.25,ATL,16.0,23.0,7,0,1,-7.0,,15.333333333333334,11.75
DEN,2016,6,-0.11695387032923668,0.027223642528165656,0.018473524170500192,0.018473524170500192,-0.08248760583416556,-0.11430802766877945,-0.1019239681773449,-0.1019239681773449,0.4264705882352941,0.4201388888888889,0.4563257575757576,0.4563257575757576,0.35,0.36665932731506495,0.38176715816060075,0.38176715816060075,-2.0,1.0,0.4,0.4,0.4,0.3333333333333333,0.39090909090909093,0.39090909090909093,0.029411764705882353,0.06319444444444444,0.04821969696969697,0.04821969696969697,0.07352941176470588,0.12256944444444444,0.14323863636363637,0.14323863636363637,0.5,0.6388888888888888,0.4833333333333333,0.4833333333333333,68,62.666666666666664,61.8,61.8,LAC,13.0,21.0,4,1,0,-8.0,8.0,8.333333333333334,8.0
DEN,2016,7,0.09797345818642061,-0.04130019811780209,-0.005434956415440584,-0.004097708246122621,-0.26386734658301,-0.13260644296974328,-0.1261538037998931,-0.09868457445348167,0.4745762711864407,0.423406862745098,0.44343805704099826,0.45134989601901365,0.3880597014925373,0.35105086170659944,0.3669186733121159,0.37647263180050067,2.0,0.3333333333333333,0.4,0.0,0.2727272727272727,0.3,0.3709090909090909,0.3924242424242424,0.0,0.061887254901960786,0.04682932263814617,0.045085041592394536,0.1694915254237288,0.10263480392156864,0.12158088235294118,0.13162043226381462,0.6,0.5833333333333334,0.4833333333333333,0.4861111111111111,59,65.33333333333333,64.4,62.833333333333336,HOU,27.0,9.0,11,0,1,18.0,6.2,1.6666666666666667,5.333333333333333
DEN,2016,8,-0.24322604615134225,-0.018951514133456804,0.012538103088336184,0.010483886958526412,-0.2855251816254836,-0.08915262026829163,-0.1378558070847028,-0.12228211332912857,0.3548387096774194,0.44097395314057825,0.4322927052176803,0.45466794961436036,0.3333333333333333,0.38809640322975286,0.3676075366875465,0.37812792747079155,0.0,0.0,0.6,0.2857142857142857,0.3333333333333333,0.30757575757575756,0.33454545454545453,0.37532467532467534,0.016129032258064516,0.04105392156862745,0.04379901960784314,0.0386443213649096,0.0967741935483871,0.1018403123961449,0.1221458541043536,0.13703058842951665,0.3333333333333333,0.5333333333333333,0.6033333333333333,0.5023809523809524,62,63.666666666666664,63.0,62.285714285714285,LAC,27.0,19.0,6,1,1,8.0,7.0,1.0,7.142857142857143
DEN,2016,9,-0.1072256228201288,-0.08740215276471945,-0.05383063646366557,-0.021229854680207168,0.0612287856107276,-0.21062671134755306,-0.1894423714235447,-0.14268749686617296,0.3137254901960784,0.41862852303305137,0.41992711381983083,0.44218929462224277,0.4657534246575342,0.35713101160862354,0.35490912398913377,0.3725286032036093,-2.0,0.0,0.6,0.25,0.2727272727272727,0.3353535353535353,0.30121212121212115,0.37007575757575756,0.0392156862745098,0.015180265654648957,0.040358159392789375,0.03582991022655396,0.13725490196078433,0.11326504357894059,0.11483402614736435,0.13199853906937545,,,,,51,63.0,63.4,62.25,LV,20.0,30.0,7,1,0,-10.0,6.2,6.0,7.25
DEN,2016,10,-0.03161854527017921,-0.08415940359501682,-0.08146124227436828,-0.03078494002908735,-0.16780044058095536,-0.16272124753258868,-0.09835085136392618,-0.12003013214651734,0.4074074074074074,0.38104682368664616,0.39829721185904654,0.4279155385748912,0.47058823529411764,0.3957154864944683,0.3926751935360252,0.38288691669848984,2.0,0.0,-0.4,0.0,0.5789473684210527,0.29292929292929293,0.3057575757575758,0.3592592592592593,0.07407407407407407,0.018448239510858108,0.03570129664769133,0.03620610756521572,0.07407407407407407,0.13450687364430006,0.10791000653952124,0.1325825793906431,0.4,0.4777777777777778,0.5366666666666667,0.48125,81,57.333333333333336,60.8,61.0,NO,25.0,23.0,7,0,0,2.0,0.2,5.333333333333333,5.333333333333333
DEN,2016,12,0.139935979571667,-0.1273567380805501,-0.08021012527689327,-0.03086830055319654,-0.06911817847843478,-0.13069894553190378,-0.1476903578025774,-0.12480716298996115,0.3815789473684211,0.35865720242696836,0.39540369334052794,0.4258647254581428,0.41333333333333333,0.4232249977616617,0.40154693895550453,0.39165704855805267,0.0,0.0,0.0,0.2,0.45,0.39500265816055286,0.3715470494417863,0.3812280701754386,0.06578947368421052,0.04313959753554947,0.031766111462506144,0.039992904216101556,0.11842105263157894,0.10270105652774848,0.11022482135433605,0.1267317288589862,0.3333333333333333,0.4444444444444444,0.4666666666666667,0.4722222222222222,76,64.66666666666667,64.2,63.0,KC,27.0,30.0,14,1,1,-3.0,2.0,0.0,5.0
